Age,Attrition,BusinessTravel,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerGender
28,No,Travel_Rarely,Project Management,3,Information Technology,174,1,Female,2,Scrum Master,1,9175,3,Yes,5,2,2,2,2,4,4,6,4,8,8,Male
33,Yes,Travel_Rarely,Software Development,2,Engineering,175,3,Male,2,Software Engineer,1,10141,2,No,11,4,4,0,24,4,1,8,10,7,4,Male
46,No,Travel_Rarely,IT Support,4,Mathematics,176,3,Female,1,Helpdesk Analyst,4,7299,4,No,12,2,4,1,30,4,3,18,3,4,7,Male
46,No,Travel_Frequently,Project Management,3,Engineering,177,2,Male,2,Scrum Master,2,10859,5,No,2,2,4,2,8,0,3,19,2,6,2,Female
41,No,Travel_Frequently,Cybersecurity,4,Engineering,178,4,Female,3,Cybersecurity Engineer,3,4349,3,Yes,5,2,2,0,7,1,1,19,3,9,2,Male
54,No,Non-Travel,IT Support,2,Engineering,179,1,Female,4,Technical Support,1,11561,5,No,14,1,4,1,11,3,2,17,7,7,2,Male
44,Yes,Travel_Rarely,Cybersecurity,3,Information Technology,180,3,Female,1,Network Security Specialist,2,13885,6,Yes,15,3,3,0,29,1,4,20,5,3,9,Male
39,Yes,Travel_Frequently,Software Development,2,Computer Science,181,2,Male,3,Frontend Developer,1,8619,5,No,12,2,1,2,14,5,1,17,8,6,3,Male
48,No,Non-Travel,Project Management,4,Mathematics,182,1,Male,1,Scrum Master,2,12935,1,No,4,1,1,2,32,1,2,13,8,9,9,Female
23,No,Travel_Rarely,IT Support,4,Engineering,183,2,Female,1,System Administrator,3,8689,5,No,16,1,4,3,34,3,3,15,6,3,1,Male
25,Yes,Travel_Frequently,Cybersecurity,3,Engineering,184,3,Female,3,Cybersecurity Engineer,3,10925,4,No,3,2,1,0,7,1,4,11,6,4,10,Male
56,Yes,Non-Travel,Cybersecurity,2,Engineering,185,4,Male,1,Network Security Specialist,2,13599,2,No,7,4,3,1,34,4,3,7,4,6,4,Male
46,Yes,Travel_Rarely,Software Development,1,Information Technology,186,1,Male,2,Full Stack Developer,1,13780,4,No,2,2,1,3,4,0,3,9,3,7,1,Female
33,No,Travel_Frequently,IT Support,2,Computer Science,187,3,Male,1,Helpdesk Analyst,2,14475,4,Yes,3,2,1,3,39,1,2,10,3,3,9,Male
53,Yes,Travel_Frequently,IT Support,4,Engineering,188,3,Female,2,IT Specialist,1,5884,5,No,6,4,2,1,19,1,2,20,2,8,4,Male
54,Yes,Travel_Frequently,IT Support,4,Engineering,189,3,Male,2,System Administrator,3,11609,5,Yes,15,4,1,2,19,0,1,8,1,3,4,Male
32,No,Travel_Frequently,Cybersecurity,1,Computer Science,190,1,Female,2,Cybersecurity Engineer,3,10061,2,No,17,3,3,3,32,2,2,1,9,7,3,Male
48,Yes,Non-Travel,IT Support,4,Computer Science,191,4,Male,4,System Administrator,2,5549,6,Yes,18,3,3,1,35,1,2,11,3,3,10,Male
37,No,Travel_Rarely,Data Science,4,Engineering,192,4,Male,4,Data Scientist,2,11431,3,Yes,15,3,2,1,4,1,4,19,3,5,10,Female
58,Yes,Travel_Rarely,Data Science,1,Information Technology,193,4,Male,3,Machine Learning Engineer,2,14799,6,No,16,4,4,1,6,2,4,3,5,3,2,Female
38,No,Travel_Frequently,Cybersecurity,3,Engineering,194,2,Female,2,Security Analyst,2,14994,0,No,7,3,3,3,24,4,4,4,1,10,5,Male
47,No,Non-Travel,Data Science,1,Computer Science,195,3,Male,4,Machine Learning Engineer,4,12237,2,Yes,13,4,3,0,24,3,4,5,8,8,7,Female
51,Yes,Non-Travel,Project Management,3,Engineering,196,1,Female,4,Project Manager,3,4694,3,Yes,4,3,1,0,40,0,3,12,7,10,1,Male
29,Yes,Travel_Frequently,Project Management,1,Engineering,197,3,Female,2,Scrum Master,3,6369,1,No,17,1,1,2,19,3,1,13,2,5,8,Male
32,No,Non-Travel,Cybersecurity,3,Business Administration,198,4,Female,4,Cybersecurity Engineer,3,8559,0,Yes,2,3,4,2,14,5,2,13,1,2,8,Male
22,Yes,Travel_Rarely,Project Management,1,Information Technology,199,2,Male,2,Project Manager,1,6555,6,Yes,2,4,3,2,28,4,1,13,5,9,1,Male
42,Yes,Non-Travel,IT Support,2,Computer Science,200,3,Female,4,Helpdesk Analyst,4,11110,6,No,20,3,1,1,21,4,3,8,8,8,3,Male
50,Yes,Non-Travel,Project Management,1,Mathematics,201,1,Female,3,Project Manager,4,3201,6,No,11,3,2,3,18,1,2,8,10,2,1,Male
36,No,Non-Travel,IT Support,1,Mathematics,202,3,Male,2,Helpdesk Analyst,1,9892,6,No,7,2,3,1,4,4,1,10,8,7,5,Male
38,Yes,Non-Travel,Project Management,1,Business Administration,203,3,Male,2,Agile Coach,1,13828,5,No,18,2,1,0,12,2,1,19,4,2,7,Female
26,Yes,Travel_Frequently,Cybersecurity,4,Mathematics,204,2,Female,3,Network Security Specialist,4,14555,2,Yes,5,3,2,0,9,1,1,5,8,6,6,Male
25,Yes,Travel_Rarely,IT Support,2,Engineering,205,3,Female,2,Helpdesk Analyst,2,9129,6,Yes,9,4,3,1,25,2,3,16,9,2,8,Male
25,No,Travel_Rarely,Project Management,4,Information Technology,206,4,Female,1,Project Manager,2,8414,4,No,2,4,4,3,21,3,2,12,5,0,3,Female
55,Yes,Non-Travel,Data Science,2,Information Technology,207,1,Female,2,Data Scientist,2,12454,1,No,2,1,3,3,22,1,4,7,1,7,9,Female
51,Yes,Non-Travel,Project Management,2,Information Technology,208,4,Female,3,Scrum Master,3,11670,5,No,13,3,2,1,4,1,4,14,1,1,7,Female
30,Yes,Non-Travel,Software Development,4,Mathematics,209,4,Male,1,Frontend Developer,4,7297,3,No,18,3,3,3,9,3,3,11,1,10,5,Male
26,Yes,Non-Travel,Cybersecurity,4,Engineering,210,1,Female,2,Network Security Specialist,1,12900,6,Yes,4,4,3,2,17,4,3,10,6,1,3,Male
56,Yes,Non-Travel,Data Science,4,Computer Science,211,2,Male,3,Machine Learning Engineer,2,3429,6,Yes,16,1,4,2,5,0,2,7,6,7,10,Female
50,Yes,Non-Travel,Data Science,2,Engineering,212,4,Female,2,Data Analyst,2,10345,2,Yes,11,4,2,3,37,3,2,4,9,4,2,Female
26,No,Non-Travel,Data Science,1,Mathematics,213,4,Male,1,Machine Learning Engineer,4,4612,1,Yes,19,3,4,0,39,3,4,3,6,7,7,Female
44,Yes,Travel_Frequently,Cybersecurity,1,Information Technology,214,1,Female,3,Network Security Specialist,4,7163,5,Yes,1,1,4,3,33,1,3,10,1,7,4,Male
60,No,Travel_Frequently,IT Support,1,Business Administration,215,2,Male,1,System Administrator,1,3213,3,Yes,11,1,1,1,14,1,4,2,7,3,3,Male
47,Yes,Non-Travel,IT Support,2,Information Technology,216,2,Male,4,Helpdesk Analyst,4,6492,6,Yes,2,2,4,0,30,5,4,5,4,9,2,Male
41,Yes,Travel_Frequently,Software Development,1,Computer Science,217,4,Female,3,Full Stack Developer,4,5258,1,No,8,3,2,0,25,0,1,12,1,2,5,Female
55,No,Non-Travel,IT Support,3,Mathematics,218,3,Female,4,Helpdesk Analyst,1,13033,2,Yes,17,2,1,1,36,5,1,18,10,7,7,Male
50,Yes,Non-Travel,Project Management,4,Engineering,219,4,Female,3,Scrum Master,3,10271,3,Yes,15,3,4,1,28,3,4,8,4,2,9,Female
39,No,Travel_Rarely,Cybersecurity,4,Business Administration,220,1,Female,4,Network Security Specialist,1,6677,6,No,20,2,3,2,12,1,2,3,9,7,2,Male
52,Yes,Travel_Rarely,Cybersecurity,1,Computer Science,221,3,Male,1,Cybersecurity Engineer,3,9398,2,Yes,1,3,2,0,29,5,1,12,6,5,9,Male
34,Yes,Travel_Rarely,Cybersecurity,4,Computer Science,222,1,Female,2,Cybersecurity Engineer,4,3562,1,No,9,3,4,0,28,4,4,20,5,3,6,Male
37,No,Travel_Rarely,IT Support,4,Engineering,223,1,Female,2,IT Specialist,3,12148,4,No,20,2,3,2,30,3,4,17,6,0,4,Male
55,No,Non-Travel,Data Science,3,Information Technology,224,4,Male,4,Data Analyst,4,7233,5,Yes,20,2,4,1,18,2,1,1,9,0,9,Female
40,No,Non-Travel,Data Science,4,Computer Science,225,3,Female,2,Machine Learning Engineer,2,14794,4,No,15,3,3,0,35,1,4,2,5,4,2,Female
25,Yes,Travel_Rarely,IT Support,3,Computer Science,226,1,Female,4,System Administrator,1,13773,3,Yes,8,2,1,1,12,3,2,10,4,10,6,Male
52,No,Travel_Frequently,Project Management,3,Business Administration,227,4,Female,4,Agile Coach,3,10674,4,Yes,20,3,3,0,8,0,1,20,10,1,7,Male
22,Yes,Travel_Rarely,Project Management,2,Computer Science,228,1,Male,3,Agile Coach,4,9570,5,Yes,12,2,2,1,18,0,3,2,9,4,1,Female
46,No,Travel_Rarely,Data Science,3,Engineering,229,1,Male,3,Data Scientist,2,12907,1,No,3,4,4,3,9,3,4,2,8,6,6,Female
47,No,Travel_Rarely,Data Science,1,Information Technology,230,2,Male,4,Data Scientist,3,8769,3,Yes,5,3,3,0,16,0,3,10,6,4,4,Female
53,No,Travel_Frequently,Project Management,1,Computer Science,231,3,Male,4,Project Manager,1,13800,5,No,5,1,3,3,18,5,2,13,1,7,4,Female
41,No,Travel_Rarely,IT Support,1,Engineering,232,3,Female,2,Helpdesk Analyst,2,12738,2,Yes,13,4,2,0,12,3,4,18,4,6,4,Male
51,No,Non-Travel,Project Management,1,Mathematics,233,3,Female,3,Scrum Master,2,12648,1,No,1,2,3,3,2,5,3,14,4,3,3,Male
55,No,Travel_Rarely,Software Development,4,Computer Science,234,1,Male,3,Full Stack Developer,3,7270,5,Yes,16,4,2,2,35,3,3,4,10,1,6,Female
44,Yes,Travel_Rarely,Software Development,1,Business Administration,235,4,Female,3,Full Stack Developer,4,6486,4,Yes,12,2,3,3,34,2,2,18,7,4,6,Female
54,No,Travel_Rarely,Data Science,3,Information Technology,236,3,Female,1,Data Analyst,2,14940,4,No,12,3,1,1,28,3,2,19,3,10,3,Female
53,Yes,Non-Travel,IT Support,4,Engineering,237,3,Male,3,System Administrator,2,14231,0,Yes,13,1,2,3,24,0,1,17,10,5,7,Male
47,Yes,Non-Travel,Cybersecurity,2,Information Technology,238,3,Female,3,Cybersecurity Engineer,1,9623,4,No,1,1,1,2,25,0,4,4,6,4,3,Male
23,Yes,Travel_Frequently,Software Development,1,Engineering,239,1,Female,2,Software Engineer,4,14370,1,No,11,1,2,1,8,1,3,17,10,5,9,Female
36,No,Travel_Rarely,Project Management,2,Mathematics,240,1,Female,3,Scrum Master,3,9293,4,Yes,10,1,1,1,32,0,3,15,2,2,8,Male
52,No,Travel_Frequently,Project Management,4,Information Technology,241,3,Male,1,Agile Coach,1,12746,3,No,13,4,4,1,24,3,1,18,2,8,10,Female
37,Yes,Non-Travel,Cybersecurity,1,Engineering,242,3,Female,2,Network Security Specialist,2,13592,2,Yes,5,2,4,3,20,2,1,3,10,9,3,Male
37,Yes,Travel_Frequently,Data Science,1,Computer Science,243,1,Female,4,Data Scientist,1,4383,0,Yes,2,2,2,0,8,5,3,20,1,10,5,Female
39,No,Non-Travel,Cybersecurity,3,Mathematics,244,2,Female,2,Network Security Specialist,1,4253,4,Yes,1,4,3,1,25,4,1,15,8,5,7,Male
42,No,Non-Travel,Data Science,4,Mathematics,245,1,Female,2,Data Analyst,1,6928,0,Yes,1,3,3,1,2,2,1,6,1,7,3,Female
53,No,Travel_Rarely,Cybersecurity,3,Mathematics,246,2,Female,4,Cybersecurity Engineer,1,13462,6,No,9,4,4,2,24,5,2,4,10,1,2,Male
36,No,Travel_Rarely,Software Development,4,Business Administration,247,4,Female,1,Frontend Developer,2,11940,5,No,2,4,3,0,1,0,1,15,3,5,2,Female
56,No,Travel_Rarely,IT Support,4,Information Technology,248,2,Male,2,Helpdesk Analyst,1,7568,0,No,13,2,4,3,29,4,3,4,9,8,8,Male
33,No,Travel_Rarely,Software Development,1,Engineering,249,4,Male,1,Frontend Developer,4,9249,1,Yes,6,1,2,3,39,1,2,12,4,9,5,Male
27,No,Non-Travel,Software Development,2,Computer Science,250,1,Male,1,Frontend Developer,4,12830,1,Yes,1,4,1,0,24,0,3,1,9,6,3,Female
38,No,Travel_Frequently,IT Support,4,Business Administration,251,4,Female,3,IT Specialist,1,10058,0,No,1,2,3,3,22,4,2,3,8,8,8,Male
22,Yes,Non-Travel,Cybersecurity,4,Business Administration,252,4,Female,3,Network Security Specialist,1,9575,2,No,6,4,1,3,7,0,4,1,5,8,4,Male
47,No,Travel_Frequently,Project Management,4,Engineering,253,2,Male,4,Agile Coach,4,13806,1,Yes,14,4,2,0,2,4,4,14,7,8,9,Female
32,Yes,Non-Travel,Data Science,2,Business Administration,254,2,Female,1,Data Analyst,4,11484,5,Yes,4,1,4,0,25,0,1,14,6,4,5,Female
46,Yes,Travel_Frequently,Project Management,3,Information Technology,255,3,Male,2,Scrum Master,3,4837,6,Yes,5,2,4,1,34,0,2,13,5,6,10,Male
39,No,Non-Travel,Data Science,3,Information Technology,256,4,Female,1,Data Analyst,4,10602,5,Yes,17,1,4,1,21,5,3,9,9,10,6,Female
48,Yes,Non-Travel,Software Development,4,Business Administration,257,3,Female,4,Backend Developer,1,7018,6,No,19,2,1,0,30,1,3,6,4,6,6,Female
27,No,Travel_Frequently,Project Management,2,Business Administration,258,4,Male,1,Agile Coach,4,3502,5,No,17,2,1,3,29,0,3,20,8,2,2,Female
31,No,Non-Travel,Project Management,4,Business Administration,259,3,Male,3,Project Manager,1,11894,4,Yes,3,1,3,0,8,5,1,3,4,2,5,Male
46,Yes,Travel_Rarely,Software Development,3,Engineering,260,3,Male,1,Full Stack Developer,4,13852,0,No,15,1,4,1,39,2,4,20,2,4,3,Female
29,No,Travel_Rarely,Software Development,3,Information Technology,261,1,Female,3,Backend Developer,3,12819,0,Yes,8,4,3,1,34,0,4,19,7,3,6,Female
41,Yes,Travel_Rarely,IT Support,1,Engineering,262,2,Male,4,IT Specialist,1,7708,1,Yes,11,4,1,0,31,5,2,3,3,7,7,Male
51,No,Non-Travel,Project Management,1,Business Administration,263,2,Female,4,Agile Coach,3,7328,4,No,3,3,1,0,2,3,4,14,8,7,9,Male
44,No,Non-Travel,Project Management,3,Computer Science,264,2,Male,3,Scrum Master,4,3843,5,Yes,13,3,4,2,29,0,3,8,3,7,4,Male
47,No,Non-Travel,Cybersecurity,1,Business Administration,265,3,Female,3,Cybersecurity Engineer,3,8767,5,Yes,19,3,4,2,18,1,2,19,1,0,2,Male
40,Yes,Travel_Rarely,Software Development,1,Mathematics,266,2,Female,3,Backend Developer,3,10097,6,No,1,4,4,2,37,1,1,3,10,5,9,Female
27,Yes,Travel_Rarely,Data Science,4,Computer Science,267,2,Male,3,Data Scientist,2,14294,6,Yes,20,4,4,3,35,5,3,17,3,6,5,Female
46,Yes,Non-Travel,Data Science,2,Business Administration,268,2,Male,4,Machine Learning Engineer,4,4200,1,Yes,2,4,2,3,40,5,4,3,9,4,10,Female
41,Yes,Travel_Rarely,Software Development,2,Computer Science,269,3,Female,1,Full Stack Developer,4,3778,0,Yes,4,2,2,3,37,1,3,5,1,8,3,Female
52,No,Travel_Rarely,Software Development,3,Information Technology,270,3,Male,2,Software Engineer,2,14287,0,Yes,8,2,2,1,19,5,2,2,5,10,3,Male
55,Yes,Travel_Frequently,Project Management,1,Computer Science,271,4,Female,1,Project Manager,2,7490,5,Yes,8,2,3,0,22,4,1,18,9,7,6,Female
53,No,Travel_Frequently,Data Science,3,Information Technology,272,1,Female,4,Machine Learning Engineer,2,10890,6,No,15,2,4,3,37,2,4,20,9,5,2,Female
59,Yes,Travel_Frequently,Software Development,2,Information Technology,273,3,Male,2,Backend Developer,2,6686,2,Yes,8,2,1,3,36,1,2,3,6,8,9,Male
27,No,Travel_Rarely,IT Support,3,Engineering,274,1,Female,3,System Administrator,2,12931,6,Yes,19,3,4,2,8,0,3,12,10,0,2,Male
56,Yes,Non-Travel,Project Management,4,Business Administration,275,3,Male,3,Agile Coach,1,8621,2,No,15,4,4,1,38,5,3,1,1,9,9,Male
51,No,Non-Travel,IT Support,1,Engineering,276,3,Female,3,Helpdesk Analyst,2,10249,2,Yes,9,2,1,1,8,3,4,7,5,6,10,Male
45,Yes,Non-Travel,Data Science,1,Information Technology,277,3,Female,2,Data Scientist,2,9672,0,No,4,3,3,3,6,4,4,15,10,5,5,Female
34,No,Non-Travel,Data Science,4,Business Administration,278,1,Male,1,Machine Learning Engineer,4,11692,1,No,10,3,2,0,34,4,4,11,6,10,7,Female
40,No,Travel_Rarely,Project Management,1,Mathematics,279,4,Male,2,Agile Coach,4,9356,4,Yes,10,2,3,3,29,0,1,2,7,7,7,Female
23,Yes,Travel_Frequently,Data Science,4,Engineering,280,4,Female,3,Data Analyst,2,5797,1,Yes,10,2,4,0,34,1,2,13,1,4,1,Female
38,No,Non-Travel,Cybersecurity,3,Information Technology,281,3,Female,3,Cybersecurity Engineer,2,11533,1,No,6,4,4,0,40,0,3,5,3,2,1,Male
36,Yes,Non-Travel,Software Development,3,Business Administration,282,4,Female,3,Frontend Developer,4,8023,4,Yes,7,1,1,2,26,0,2,3,6,2,8,Female
54,No,Non-Travel,Data Science,3,Computer Science,283,1,Female,2,Data Analyst,4,4850,3,Yes,17,4,3,1,38,0,1,1,10,7,2,Female
22,No,Non-Travel,Software Development,4,Business Administration,284,1,Male,2,Backend Developer,4,9967,5,Yes,1,4,3,3,30,3,1,8,8,9,4,Female
46,No,Non-Travel,Cybersecurity,3,Information Technology,285,1,Male,2,Security Analyst,3,5635,5,No,15,1,2,1,39,3,2,10,8,9,2,Male
40,Yes,Travel_Rarely,Project Management,3,Mathematics,286,3,Male,3,Agile Coach,3,12641,6,Yes,6,3,4,2,6,1,2,15,10,0,9,Female
44,Yes,Travel_Rarely,Project Management,4,Information Technology,287,2,Female,4,Scrum Master,1,13420,2,Yes,4,1,2,2,20,4,1,8,6,7,8,Male
45,No,Travel_Rarely,Cybersecurity,4,Business Administration,288,1,Male,1,Network Security Specialist,1,3684,0,No,7,3,2,3,29,5,3,13,6,8,1,Male
44,Yes,Travel_Frequently,Cybersecurity,4,Computer Science,289,1,Male,1,Cybersecurity Engineer,4,13512,0,No,2,4,4,0,22,2,1,1,5,3,1,Male
34,No,Non-Travel,IT Support,2,Business Administration,290,1,Female,1,System Administrator,4,6272,3,Yes,4,2,2,1,8,0,1,10,2,8,10,Male
24,No,Travel_Rarely,Data Science,4,Computer Science,291,4,Female,4,Data Analyst,1,9561,5,No,15,2,2,3,5,2,4,9,4,5,10,Female
23,Yes,Travel_Frequently,Project Management,4,Information Technology,292,4,Male,1,Project Manager,4,10974,0,Yes,16,3,4,0,2,5,2,19,10,3,5,Male
33,Yes,Non-Travel,IT Support,3,Business Administration,293,3,Male,3,System Administrator,3,6775,0,Yes,19,4,4,2,24,2,2,6,1,10,2,Male
50,Yes,Travel_Frequently,IT Support,2,Information Technology,294,2,Male,2,Helpdesk Analyst,1,5139,1,No,15,3,4,0,14,4,1,2,1,0,1,Male
41,No,Non-Travel,Cybersecurity,1,Business Administration,295,2,Female,2,Security Analyst,4,13597,3,Yes,18,4,3,1,1,0,2,3,6,1,6,Male
45,Yes,Travel_Rarely,IT Support,1,Engineering,296,3,Female,3,IT Specialist,2,11972,6,Yes,5,4,3,0,1,0,3,19,8,1,6,Male
43,No,Travel_Rarely,Project Management,4,Mathematics,297,1,Male,3,Project Manager,4,9597,6,Yes,12,3,1,3,36,5,1,17,4,8,7,Male
22,Yes,Travel_Frequently,IT Support,2,Engineering,298,3,Female,1,Technical Support,3,11268,0,Yes,16,3,1,1,30,3,2,18,1,3,2,Male
35,Yes,Travel_Frequently,Software Development,3,Information Technology,299,3,Female,2,Software Engineer,1,3759,4,Yes,20,4,4,2,34,0,4,10,8,1,8,Female
22,Yes,Travel_Frequently,Cybersecurity,3,Information Technology,300,4,Male,2,Cybersecurity Engineer,3,13402,5,Yes,10,4,1,1,12,1,3,19,10,3,8,Male
38,Yes,Travel_Rarely,Project Management,3,Information Technology,301,4,Female,1,Scrum Master,1,14761,5,No,10,3,3,3,13,0,3,10,10,6,3,Male
30,No,Non-Travel,IT Support,3,Computer Science,302,4,Male,3,Helpdesk Analyst,1,11580,6,No,5,1,1,0,28,3,4,13,4,8,8,Male
47,Yes,Non-Travel,Software Development,3,Computer Science,303,4,Male,4,Software Engineer,1,11089,1,No,12,1,2,3,1,0,2,18,4,0,2,Male
48,Yes,Travel_Frequently,Project Management,4,Mathematics,304,2,Male,1,Project Manager,3,13717,0,Yes,4,2,2,3,37,5,2,4,10,2,3,Male
52,Yes,Travel_Rarely,Software Development,4,Computer Science,305,1,Female,3,Frontend Developer,1,8608,4,No,11,2,3,2,22,1,1,14,10,8,9,Female
50,No,Travel_Rarely,Software Development,2,Information Technology,306,3,Female,3,Backend Developer,2,6074,2,No,14,4,4,1,15,4,3,18,8,8,6,Female
54,No,Non-Travel,Software Development,1,Information Technology,307,3,Male,4,Backend Developer,4,3370,5,Yes,3,2,1,0,28,4,4,6,4,8,9,Female
38,No,Non-Travel,Cybersecurity,3,Information Technology,308,2,Male,3,Cybersecurity Engineer,3,3475,2,Yes,6,1,1,3,32,1,1,17,6,8,7,Male
50,No,Travel_Rarely,Data Science,2,Business Administration,309,4,Female,2,Data Analyst,1,10524,1,No,2,4,2,0,25,3,4,6,9,4,2,Female
45,Yes,Travel_Rarely,Data Science,2,Engineering,310,4,Male,4,Machine Learning Engineer,4,4974,1,Yes,7,4,2,2,8,0,2,20,4,1,4,Female
53,No,Travel_Rarely,Software Development,3,Engineering,311,1,Male,1,Frontend Developer,3,6041,4,No,8,2,3,3,24,4,3,5,2,0,5,Female
58,No,Travel_Rarely,Software Development,1,Computer Science,312,1,Male,3,Backend Developer,2,3969,5,No,19,4,3,3,15,0,2,4,9,5,8,Male
46,No,Travel_Rarely,Project Management,3,Information Technology,313,1,Female,2,Agile Coach,3,7655,1,Yes,9,1,1,3,31,0,2,6,5,9,2,Male
49,No,Non-Travel,Project Management,1,Information Technology,314,1,Male,2,Agile Coach,1,9784,3,Yes,15,1,2,2,14,2,1,14,5,8,3,Female
37,No,Non-Travel,Project Management,4,Business Administration,315,4,Female,4,Project Manager,4,7908,3,Yes,18,2,3,0,27,4,2,14,10,3,7,Female
26,Yes,Travel_Frequently,Data Science,3,Business Administration,316,3,Female,3,Data Scientist,3,4060,4,No,1,4,2,1,15,4,3,10,1,5,7,Female
54,Yes,Travel_Rarely,Project Management,3,Computer Science,317,2,Male,1,Agile Coach,2,14594,1,Yes,18,3,2,0,5,0,4,19,2,10,1,Male
29,No,Travel_Rarely,Cybersecurity,3,Engineering,318,1,Female,3,Cybersecurity Engineer,3,14172,5,No,19,4,2,2,16,1,1,4,1,5,3,Male
42,Yes,Non-Travel,Project Management,4,Computer Science,319,1,Male,1,Scrum Master,4,4653,1,No,18,1,4,1,39,4,3,11,10,4,4,Female
23,No,Travel_Rarely,Project Management,4,Engineering,320,3,Male,4,Agile Coach,4,3062,5,Yes,18,1,1,3,18,2,4,3,9,10,9,Female
60,No,Travel_Frequently,Cybersecurity,2,Information Technology,321,2,Female,2,Network Security Specialist,4,8043,6,No,1,1,3,1,18,0,4,20,6,3,6,Male
56,No,Travel_Rarely,Software Development,2,Business Administration,322,1,Male,1,Frontend Developer,1,3355,4,No,6,4,2,3,38,2,2,12,5,10,3,Male
44,Yes,Travel_Frequently,Cybersecurity,3,Business Administration,323,4,Male,2,Network Security Specialist,1,4677,0,Yes,17,4,3,1,26,0,4,10,1,6,10,Male
50,Yes,Non-Travel,Project Management,2,Engineering,324,1,Male,3,Project Manager,3,10076,2,Yes,2,1,3,1,14,4,1,15,4,8,6,Female
39,Yes,Non-Travel,Project Management,1,Computer Science,325,3,Female,2,Project Manager,4,9462,4,Yes,7,1,4,1,32,1,4,3,9,4,3,Female
31,Yes,Travel_Frequently,Project Management,2,Computer Science,326,4,Female,1,Agile Coach,2,4236,4,No,20,2,3,3,34,1,1,5,10,9,7,Female
60,No,Non-Travel,IT Support,3,Computer Science,327,2,Female,3,Helpdesk Analyst,1,5684,5,Yes,6,2,2,1,35,0,4,7,7,2,10,Male
47,Yes,Travel_Frequently,Software Development,4,Engineering,328,3,Female,1,Frontend Developer,3,13821,5,Yes,6,1,1,2,27,0,1,18,7,2,6,Female
33,Yes,Travel_Rarely,Cybersecurity,4,Computer Science,329,4,Female,4,Cybersecurity Engineer,2,13636,0,Yes,12,1,4,2,5,4,1,6,10,2,10,Male
55,No,Non-Travel,Project Management,2,Business Administration,330,3,Female,3,Scrum Master,4,3363,6,No,13,2,3,3,23,5,4,15,6,7,9,Male
32,No,Non-Travel,Cybersecurity,4,Mathematics,331,3,Female,3,Network Security Specialist,4,9888,1,Yes,3,3,1,1,9,0,1,18,9,2,6,Male
44,Yes,Non-Travel,Data Science,1,Business Administration,332,4,Female,1,Data Scientist,4,6088,0,Yes,19,3,2,3,23,4,2,3,2,9,3,Female
55,Yes,Non-Travel,Project Management,1,Computer Science,333,4,Male,3,Scrum Master,3,9700,5,No,9,2,2,1,8,2,4,14,10,4,3,Female
28,Yes,Travel_Rarely,Project Management,2,Engineering,334,1,Male,2,Scrum Master,4,7392,5,No,10,2,3,2,3,2,2,10,7,6,1,Male
26,Yes,Travel_Frequently,Project Management,2,Information Technology,335,3,Female,3,Agile Coach,4,11618,0,No,14,1,1,2,37,1,4,10,5,6,3,Female
26,No,Non-Travel,Software Development,3,Computer Science,336,3,Female,3,Full Stack Developer,3,4509,5,Yes,16,2,1,2,29,2,1,20,2,8,9,Female
26,No,Travel_Frequently,Software Development,4,Information Technology,337,1,Male,4,Backend Developer,2,9200,0,No,18,3,4,3,35,2,1,20,9,1,7,Female
28,Yes,Travel_Frequently,Software Development,3,Information Technology,338,3,Male,1,Software Engineer,1,14513,4,No,15,2,2,0,16,2,4,11,10,8,6,Male
37,Yes,Travel_Frequently,Project Management,2,Engineering,339,2,Male,3,Scrum Master,2,12765,5,No,13,4,1,2,13,4,2,18,9,8,8,Female
29,No,Travel_Rarely,Data Science,2,Information Technology,340,4,Male,1,Data Analyst,2,12681,0,Yes,11,3,1,2,35,1,2,13,6,4,9,Female
60,No,Non-Travel,Data Science,1,Business Administration,341,2,Male,1,Machine Learning Engineer,3,3495,1,Yes,11,1,3,1,31,1,4,15,8,3,9,Female
41,Yes,Travel_Rarely,Software Development,1,Engineering,342,4,Male,1,Full Stack Developer,3,5752,1,Yes,12,1,3,2,4,3,2,13,6,0,4,Female
53,No,Travel_Frequently,Software Development,3,Computer Science,343,3,Female,4,Frontend Developer,2,6333,2,Yes,9,3,2,3,25,2,3,14,9,8,10,Male
30,Yes,Non-Travel,Data Science,2,Computer Science,344,1,Male,1,Machine Learning Engineer,3,4239,5,No,14,1,2,3,22,1,1,4,10,5,8,Female
51,Yes,Non-Travel,Cybersecurity,4,Computer Science,345,4,Female,4,Security Analyst,3,8916,6,Yes,20,3,1,3,8,5,3,12,3,2,7,Male
56,No,Non-Travel,Software Development,3,Business Administration,346,1,Male,3,Full Stack Developer,4,4511,0,No,9,1,1,0,4,5,3,15,6,8,3,Male
57,No,Non-Travel,Data Science,3,Mathematics,347,4,Male,3,Data Analyst,2,14350,6,No,2,3,1,3,32,4,3,8,4,0,7,Female
